,country,l_score,gdp_per_capita,support,life_expectancy,freedom,generosity,corruption,rank,r_indicator
121,Sri Lanka,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.244,0.047,27.0,South Asia
122,Myanmar,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,26.0,Southeast Asia
123,Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,25.0,Sub-Saharan Africa
124,Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,24.0,Commonwealth of Independent States
125,Ethiopia,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,23.0,Sub-Saharan Africa
126,Swaziland,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,22.0,Sub-Saharan Africa
127,Uganda,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,21.0,Sub-Saharan Africa
128,Egypt,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,20.0,Middle East and North Africa
129,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,19.0,Sub-Saharan Africa
130,Togo,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,18.0,Sub-Saharan Africa
131,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,17.0,South Asia
132,Liberia,3.975,0.073,0.922,0.44299999999999995,0.37,0.233,0.033,16.0,Sub-Saharan Africa
133,Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,15.0,Sub-Saharan Africa
134,Madagascar,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.16899999999999998,0.040999999999999995,14.0,Sub-Saharan Africa
135,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000001,13.0,Sub-Saharan Africa
136,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18,12.0,Sub-Saharan Africa
137,Zimbabwe,3.6630000000000003,0.366,1.114,0.433,0.361,0.151,0.08900000000000001,11.0,Sub-Saharan Africa
138,Haiti,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.419,0.11,10.0,Latin America and Caribbean
139,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1,9.0,Sub-Saharan Africa
140,Malawi,3.41,0.191,0.56,0.495,0.44299999999999995,0.218,0.08900000000000001,7.0,Sub-Saharan Africa
141,Yemen,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.10800000000000001,0.077,6.0,Middle East and North Africa
142,Rwanda,3.3339999999999996,0.359,0.711,0.614,0.555,0.217,0.41100000000000003,5.0,Sub-Saharan Africa
143,Tanzania,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.276,0.147,4.0,Sub-Saharan Africa
144,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025,3.0,South Asia
145,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,2.0,Sub-Saharan Africa
146,South Sudan,2.853,0.306,0.575,0.295,0.01,0.20199999999999999,0.091,1.0,Sub-Saharan Africa
